month_date,hires,pct_of_baseline,usable
2013-01-01,26676,126.4,TRUE
2013-02-01,9313,44.1,TRUE
2013-03-01,11026,52.2,TRUE
2013-04-01,11747,55.7,TRUE
2013-05-01,11194,53,TRUE
2013-06-01,13021,61.7,TRUE
2013-07-01,11117,52.7,TRUE
2013-08-01,7121,33.7,TRUE
2013-09-01,19126,90.6,TRUE
2013-10-01,14682,69.6,TRUE
2013-11-01,10401,49.3,TRUE
2013-12-01,8264,39.2,TRUE
2014-01-01,28402,134.6,TRUE
2014-02-01,10782,51.1,TRUE
2014-03-01,12392,58.7,TRUE
2014-04-01,13943,66.1,TRUE
2014-05-01,14070,66.7,TRUE
2014-06-01,14858,70.4,TRUE
2014-07-01,11923,56.5,TRUE
2014-08-01,7030,33.3,TRUE
2014-09-01,20919,99.1,TRUE
2014-10-01,15998,75.8,TRUE
2014-11-01,11947,56.6,TRUE
2014-12-01,8827,41.8,TRUE
2015-01-01,27544,130.5,TRUE
2015-02-01,10878,51.5,TRUE
2015-03-01,13113,62.1,TRUE
2015-04-01,14314,67.8,TRUE
2015-05-01,15278,72.4,TRUE
2015-06-01,15904,75.4,TRUE
2015-07-01,11896,56.4,TRUE
2015-08-01,7091,33.6,TRUE
2015-09-01,19908,94.3,TRUE
2015-10-01,15891,75.3,TRUE
2015-11-01,12343,58.5,TRUE
2015-12-01,8795,41.7,TRUE
2016-01-01,26526,125.7,TRUE
